=====================================
           Angle from tree           
=====================================
Angle : 0( 0 , 125.465 ) , ( 0 , 75.4648 )
Angle : 1( -1.09782 , 125.452 ) , ( -0.222817 , 75.4622 )
Angle : 2( -2.18936 , 125.427 ) , ( -0.444361 , 75.4572 )
Angle : 3( -3.2809 , 125.377 ) , ( -0.665905 , 75.447 )
Angle : 4( -4.37872 , 125.314 ) , ( -0.888721 , 75.4342 )
Angle : 5( -5.47027 , 125.226 ) , ( -1.11027 , 75.4164 )
Angle : 6( -6.55554 , 125.12 ) , ( -1.33054 , 75.3948 )
Angle : 7( -7.64708 , 124.994 ) , ( -1.55208 , 75.3693 )
Angle : 8( -8.73235 , 124.856 ) , ( -1.77235 , 75.3413 )
Angle : 9( -9.81135 , 124.693 ) , ( -1.99135 , 75.3082 )
Angle : 10( -10.8903 , 124.511 ) , ( -2.21034 , 75.2713 )
Angle : 11( -11.9693 , 124.311 ) , ( -2.42934 , 75.2305 )
Angle : 12( -13.0421 , 124.091 ) , ( -2.64707 , 75.186 )
Angle : 13( -14.1148 , 123.859 ) , ( -2.86479 , 75.1388 )
Angle : 14( -15.175 , 123.602 ) , ( -3.07997 , 75.0866 )
Angle : 15( -16.2351 , 123.326 ) , ( -3.29515 , 75.0306 )
Angle : 16( -17.289 , 123.037 ) , ( -3.50905 , 74.9721 )
Angle : 17( -18.343 , 122.723 ) , ( -3.72295 , 74.9084 )
Angle : 18( -19.3843 , 122.397 ) , ( -3.93431 , 74.8422 )
Angle : 19( -20.4257 , 122.046 ) , ( -4.14567 , 74.7709 )
Angle : 20( -21.4545 , 121.682 ) , ( -4.35448 , 74.697 )
Angle : 21( -22.4833 , 121.299 ) , ( -4.56329 , 74.6194 )
Angle : 22( -23.4996 , 120.898 ) , ( -4.76956 , 74.5379 )
Angle : 23( -24.5095 , 120.478 ) , ( -4.97455 , 74.4526 )
Angle : 24( -25.5133 , 120.038 ) , ( -5.17827 , 74.3634 )
Angle : 25( -26.5107 , 119.587 ) , ( -5.38071 , 74.2718 )
Angle : 26( -27.5019 , 119.116 ) , ( -5.58188 , 74.1763 )
Angle : 27( -28.4805 , 118.627 ) , ( -5.78051 , 74.077 )
Angle : 28( -29.4529 , 118.119 ) , ( -5.97786 , 73.9738 )
Angle : 29( -30.4127 , 117.598 ) , ( -6.17267 , 73.8682 )
Angle : 30( -31.3662 , 117.059 ) , ( -6.3662 , 73.7587 )
Angle : 31( -32.3072 , 116.507 ) , ( -6.55719 , 73.6466 )
Angle : 32( -33.2419 , 115.929 ) , ( -6.7469 , 73.5295 )
Angle : 33( -34.1641 , 115.346 ) , ( -6.93407 , 73.4111 )
Angle : 34( -35.08 , 114.738 ) , ( -7.11996 , 73.2876 )
Angle : 35( -35.9833 , 114.123 ) , ( -7.3033 , 73.1628 )
Angle : 36( -36.8741 , 113.483 ) , ( -7.48411 , 73.0329 )
Angle : 37( -37.7524 , 112.83 ) , ( -7.66236 , 72.9005 )
Angle : 38( -38.6243 , 112.166 ) , ( -7.83934 , 72.7655 )
Angle : 39( -39.4775 , 111.482 ) , ( -8.0125 , 72.6267 )
Angle : 40( -40.3244 , 110.785 ) , ( -8.18439 , 72.4854 )
Angle : 41( -41.1587 , 110.077 ) , ( -8.35373 , 72.3415 )
Angle : 42( -41.9742 , 109.349 ) , ( -8.51925 , 72.1938 )
Angle : 43( -42.7835 , 108.615 ) , ( -8.6835 , 72.0449 )
Angle : 44( -43.5802 , 107.856 ) , ( -8.8452 , 71.8908 )
Angle : 45( -44.3581 , 107.09 ) , ( -9.00308 , 71.7355 )
Angle : 46( -45.1234 , 106.313 ) , ( -9.15841 , 71.5776 )
Angle : 47( -45.8825 , 105.516 ) , ( -9.31248 , 71.4159 )
Angle : 48( -46.6164 , 104.707 ) , ( -9.46145 , 71.2516 )
Angle : 49( -47.3441 , 103.891 ) , ( -9.60914 , 71.0861 )
Angle : 50( -48.053 , 103.057 ) , ( -9.75302 , 70.9168 )
Angle : 51( -48.7493 , 102.21 ) , ( -9.89435 , 70.7449 )
Angle : 52( -49.4331 , 101.357 ) , ( -10.0331 , 70.5717 )
Angle : 53( -50.0981 , 100.485 ) , ( -10.1681 , 70.3948 )
Angle : 54( -50.7505 , 99.6065 ) , ( -10.3005 , 70.2165 )
Angle : 55( -51.3904 , 98.7157 ) , ( -10.4304 , 70.0357 )
Angle : 56( -52.0052 , 97.8124 ) , ( -10.5552 , 69.8524 )
Angle : 57( -52.6137 , 96.8965 ) , ( -10.6787 , 69.6665 )
Angle : 58( -53.1971 , 95.9743 ) , ( -10.7971 , 69.4793 )
Angle : 59( -53.7742 , 95.0396 ) , ( -10.9142 , 69.2896 )
Angle : 60( -54.3263 , 94.0986 ) , ( -11.0263 , 69.0986 )
Angle : 61( -54.8658 , 93.1451 ) , ( -11.1358 , 68.9051 )
Angle : 62( -55.3864 , 92.1853 ) , ( -11.2414 , 68.7103 )
Angle : 63( -55.8946 , 91.2129 ) , ( -11.3446 , 68.5129 )
Angle : 64( -56.3839 , 90.2343 ) , ( -11.4439 , 68.3143 )
Angle : 65( -56.8544 , 89.2431 ) , ( -11.5394 , 68.1131 )
Angle : 66( -57.306 , 88.2457 ) , ( -11.631 , 67.9107 )
Angle : 67( -57.7452 , 87.2419 ) , ( -11.7202 , 67.7069 )
Angle : 68( -58.1655 , 86.2319 ) , ( -11.8055 , 67.502 )
Angle : 69( -58.567 , 85.2157 ) , ( -11.887 , 67.2957 )
Angle : 70( -58.9496 , 84.1869 ) , ( -11.9646 , 67.0869 )
Angle : 71( -59.3135 , 83.1581 ) , ( -12.0385 , 66.8781 )
Angle : 72( -59.6648 , 82.1167 ) , ( -12.1098 , 66.6667 )
